skill	old_encoding	new_encoding	old_size	new_size	old_sha256	new_sha256	name_equal	description_equal	body_equal_unicode	has_replacement_char	has_mojibake	line_endings_was	ends_with_newline_was	status
NDA快筛	utf-8	utf-8	10198	10198	5c2a540713416a9f0c5063252127e04ca6bae5285b3f644788a4b7cef19752b2	5c2a540713416a9f0c5063252127e04ca6bae5285b3f644788a4b7cef19752b2	true	true	true	false	false	crlf	1	ALREADY_NORMALIZED
aihot	utf-8	utf-8	7338	7338	d71ba5bbb237829abd60c9dfb309e38fbcda3c9ecd4a372229e59e66a52566e1	d71ba5bbb237829abd60c9dfb309e38fbcda3c9ecd4a372229e59e66a52566e1	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
autoresearch	utf-8	utf-8	9341	9341	e69617e3a318b28b64d71ae2499eae22734d535fbbd7f08c064fad7a497543fd	e69617e3a318b28b64d71ae2499eae22734d535fbbd7f08c064fad7a497543fd	true	true	true	false	false	mixed	1	ALREADY_NORMALIZED
browser-use	utf-8	utf-8	11553	11553	076933d467354805e386dcdd85e9e5fbe9638910ff055266f58d6b7e63267709	076933d467354805e386dcdd85e9e5fbe9638910ff055266f58d6b7e63267709	true	true	true	false	false	mixed	1	ALREADY_NORMALIZED
cognitive-profile	utf-8	utf-8	8389	8389	0f1193099a40ac80e44c172af5f8d7722d61647ee69cb7a690515db14895112c	0f1193099a40ac80e44c172af5f8d7722d61647ee69cb7a690515db14895112c	true	true	true	false	false	mixed	1	ALREADY_NORMALIZED
darwin-skill	utf-8	utf-8	18429	18429	718978eb3288f2663b20d096b769621dda29354e86f5e525e890a941ffe53d5d	718978eb3288f2663b20d096b769621dda29354e86f5e525e890a941ffe53d5d	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
deep-research	utf-8	utf-8	3274	3274	043a3d76874ba44fede61ffbd73350d3c88326a9c15203ca4c3ec391021aa959	043a3d76874ba44fede61ffbd73350d3c88326a9c15203ca4c3ec391021aa959	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
deep-research/research-add-fields	utf-8	utf-8	896	896	010488537732af5fd80ef7ddd861f17461233d4058fb7508915e191bcd1e9f43	010488537732af5fd80ef7ddd861f17461233d4058fb7508915e191bcd1e9f43	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
deep-research/research-add-items	utf-8	utf-8	776	776	bc8d66ab4320b9725865484923470ff9559c830e3829f67e5311d30f6900bbbf	bc8d66ab4320b9725865484923470ff9559c830e3829f67e5311d30f6900bbbf	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
deep-research/research-deep	utf-8	utf-8	3385	3385	730393b3b9071e92076512840279c3738f0dd3d88f57e89bd7f8eec699cb5955	730393b3b9071e92076512840279c3738f0dd3d88f57e89bd7f8eec699cb5955	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
deep-research/research-en/research-add-fields	utf-8	utf-8	926	926	7db43f4e5f759de8b861aced3b688e78747caf305d3c4f00f78d5937e517ed7f	7db43f4e5f759de8b861aced3b688e78747caf305d3c4f00f78d5937e517ed7f	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
deep-research/research-en/research-add-items	utf-8	utf-8	790	790	596bda02d419cc13cdc95f5dd2b664bb08c659b070b4d2d1bb5e2372f5a991e0	596bda02d419cc13cdc95f5dd2b664bb08c659b070b4d2d1bb5e2372f5a991e0	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
deep-research/research-en/research-deep	utf-8	utf-8	3512	3512	cb8f6c81cd0599d86388d740b4041539dbb2a67c4d9a71544ccdce79c788e873	cb8f6c81cd0599d86388d740b4041539dbb2a67c4d9a71544ccdce79c788e873	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
deep-research/research-en/research-report	utf-8	utf-8	3828	3828	a5e81c33404167cb6c56f88ed32a94d105d94183f007f9452dc6148d347bff6d	a5e81c33404167cb6c56f88ed32a94d105d94183f007f9452dc6148d347bff6d	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
deep-research/research-en/research	utf-8	utf-8	4333	4333	d654d83fecb78d74fed35bfcbe3751705b9f8eb69ca0467a6e092417821f54d7	d654d83fecb78d74fed35bfcbe3751705b9f8eb69ca0467a6e092417821f54d7	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
deep-research/research-report	utf-8	utf-8	3585	3585	811193689939043ccd445f180671453cc03ea6e9d58c1ddbb462b8fa9439b196	811193689939043ccd445f180671453cc03ea6e9d58c1ddbb462b8fa9439b196	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
deep-research/research	utf-8	utf-8	3934	3934	4fb7a8ea9ceb0557b5551c8777821b84eb1cc225402060022dc355bc27f71d90	4fb7a8ea9ceb0557b5551c8777821b84eb1cc225402060022dc355bc27f71d90	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
document-review-tracked	utf-8	utf-8	1859	1859	8343c0a97b89e1027e932f9a9fd5879e732a2cb24659f9871f37e1ea35b1b2b1	8343c0a97b89e1027e932f9a9fd5879e732a2cb24659f9871f37e1ea35b1b2b1	true	true	true	false	false	crlf	1	ALREADY_NORMALIZED
effect	utf-8	utf-8	2794	2794	0d27f8d40455cd4d509c0c81f3d2b6edb8319cd8ebd12a2e9f21626fc80495d5	0d27f8d40455cd4d509c0c81f3d2b6edb8319cd8ebd12a2e9f21626fc80495d5	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
experiment-design	utf-8	utf-8	8516	8516	24614520d790a81ac3a53d7d1e6d005674f27df2e9822853b31b1286eb494cfc	24614520d790a81ac3a53d7d1e6d005674f27df2e9822853b31b1286eb494cfc	true	true	true	false	false	crlf	1	ALREADY_NORMALIZED
fullstack-dev	utf-8	utf-8	35030	35030	b38d20077220ae6268bd58fca633dbdd4036ac65f71d112c5a2ca1d93c61aa92	b38d20077220ae6268bd58fca633dbdd4036ac65f71d112c5a2ca1d93c61aa92	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
geolog-logging-review	utf-8	utf-8	5518	5518	4f61055b2dc04ae6f7044ba2c7624ddfa758c08eb8625353f0ab4b3f385e3b80	4f61055b2dc04ae6f7044ba2c7624ddfa758c08eb8625353f0ab4b3f385e3b80	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
geology-knowledge	utf-8	utf-8	1432	1433	81054097d9f4e37fbc691291f331b03726863aa4182e2999aef8841d6f1a5ec0	f64f8699668bc14efd9f686c6b4f9558c73ff6525d84835c7996c406b39adea4	true	true	true	false	false	crlf	0	APPENDED_FINAL_NEWLINE
giiisp-paper-search-apis	utf-8	utf-8	12257	12257	13b2bd5b4bd299ed6be7468296bf61960cad215d871d18dfe902291285ffb45e	13b2bd5b4bd299ed6be7468296bf61960cad215d871d18dfe902291285ffb45e	true	true	true	false	false	mixed	1	ALREADY_NORMALIZED
github-trending-cn	utf-8	utf-8	2665	2665	c262522bc0db2d41d21c1504cf743643ef4b933b55892b05091ed89ab21d0dae	c262522bc0db2d41d21c1504cf743643ef4b933b55892b05091ed89ab21d0dae	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
github	utf-8	utf-8	1306	1306	f8b6f3b380d6d22eb4cefde352b6a8b8d0dd18925c3647ea42c71e5403cdf0fe	f8b6f3b380d6d22eb4cefde352b6a8b8d0dd18925c3647ea42c71e5403cdf0fe	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
humanizer	utf-8	utf-8	17885	17885	eb2d44bb02d10ec99ed6e57c50ee96f5d66c474df4533eb964def1e0a58c199a	eb2d44bb02d10ec99ed6e57c50ee96f5d66c474df4533eb964def1e0a58c199a	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
image-well	utf-8	utf-8	4620	4620	f91002f5ada5c7177d1257d184b39271a2eba3eaab06adcb624b5305ca26c067	f91002f5ada5c7177d1257d184b39271a2eba3eaab06adcb624b5305ca26c067	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
knowledge-distill	utf-8	utf-8	3243	3243	7fb5a4f492d34e4e516ae7c062bd71e0c3aefa2edb06c997e18d95ea9606355d	7fb5a4f492d34e4e516ae7c062bd71e0c3aefa2edb06c997e18d95ea9606355d	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
llm-wiki-knowledge	utf-8	utf-8	2215	2215	19f3dffca1ce8e18b5503ded4cd915b0daf9f5da2df2bf0ccf7ae7297c70ff1e	19f3dffca1ce8e18b5503ded4cd915b0daf9f5da2df2bf0ccf7ae7297c70ff1e	true	true	true	false	false	crlf	1	ALREADY_NORMALIZED
long-document-writing	utf-8	utf-8	2012	2012	1e966123543e00a808cb203aee33bd936dae3a31392416725df34a6ce7da186c	1e966123543e00a808cb203aee33bd936dae3a31392416725df34a6ce7da186c	true	true	true	false	false	crlf	1	ALREADY_NORMALIZED
manim-agent	utf-8	utf-8	6596	6596	dba784a78b1da6784eb89adbf32e93cf234c1098c779ae6d33d08ede04c8af5c	dba784a78b1da6784eb89adbf32e93cf234c1098c779ae6d33d08ede04c8af5c	true	true	true	false	false	mixed	1	ALREADY_NORMALIZED
markitdown-skill	utf-8	utf-8	3646	3646	47aee272f21a1457a44bfb07fb6a715d4b6f41d16f642fa53eb655ef22468631	47aee272f21a1457a44bfb07fb6a715d4b6f41d16f642fa53eb655ef22468631	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
material-organizer	utf-8	utf-8	15417	15417	525471cdaa7d4b0d3618c86577c845d6052bf32c48874ed70a05c5856e7edb0c	525471cdaa7d4b0d3618c86577c845d6052bf32c48874ed70a05c5856e7edb0c	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
mcp-criticagent	utf-8	utf-8	4468	4468	0a1b70825aa559cbf5aa5f477ddb25f65af41ff95e0a2263869057a853ac0938	0a1b70825aa559cbf5aa5f477ddb25f65af41ff95e0a2263869057a853ac0938	true	true	true	false	false	mixed	1	ALREADY_NORMALIZED
meeting-minutes-manager	utf-8	utf-8	5126	5126	c7a31e68ea4c05b1b21007d92f0946deece5a298fa377b7a92a78eb4edb11546	c7a31e68ea4c05b1b21007d92f0946deece5a298fa377b7a92a78eb4edb11546	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
minimax-docx	utf-8	utf-8	16011	16011	4fbc2717a8c522dc01ad8d27b07cd4e274f65d77db5d1f6f0fbccce2f8ea35cb	4fbc2717a8c522dc01ad8d27b07cd4e274f65d77db5d1f6f0fbccce2f8ea35cb	true	true	true	false	false	lf	1	ALREADY_NORMALIZED
